id,name,category,subCategory,flavor,taste,wikipediaUrl
0,egg,"animal product",,,,"https://en.wikipedia.org/wiki/Egg_as_food"
1,"bakery products",bakery,,,,"https://en.wikipedia.org/wiki/Bakery"
2,bread,bakery,,,,"https://en.wikipedia.org/wiki/Bread"
3,"rye bread",bakery,,,,"https://en.wikipedia.org/wiki/Rye_bread"
4,"wheaten bread",bakery,,,,"https://en.wikipedia.org/wiki/Soda_bread"
5,"white bread",bakery,,,,"https://en.wikipedia.org/wiki/White_bread"
6,"wholewheat bread",bakery,,,,"https://en.wikipedia.org/wiki/Whole_wheat_bread"
7,wort,beverage,,,,"https://en.wikipedia.org/wiki/Wort"
8,arrack,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Arrack"
9,beer,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Beer"
10,"bantu beer","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Millet_beer"
11,brandy,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Brandy"
12,"anise brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Brandy"
13,"apple brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Fruit_brandy"
14,"armagnac brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Armagnac_(brandy)"
15,"blackberry brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Fruit_brandy"
16,"cherry brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Fruit_brandy"
17,"cognac brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Cognac"
18,"papaya brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Fruit_brandy"
19,"pear brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Fruit_brandy"
20,"plum brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Slivovitz"
21,"raspberry brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Cognac"
22,"weinbrand brandy","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Brandy"
23,gin,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Gin"
24,rum,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Rum"
25,whisky,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Whisky"
26,"bourbon whisky","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Bourbon_whiskey"
27,"canadian whisky","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Canadian_whisky"
28,"finnish whisky","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Finnish_whisky"
29,"japanese whisky","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Japanese_whisky"
30,"malt whisky","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Malt_whisky"
31,"scotch whisky","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Scotch_whisky"
32,wine,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Wine"
33,"bilberry wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Vaccinium_myrtillus"
34,"botrytized wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Noble_rot"
35,champagne,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Champagne"
36,cider,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Cider"
37,"plum wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Fruit_wine"
38,"port wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Port_wine"
39,"red wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Red_wine"
40,"rose wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Ros%C3%A9"
41,sake,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Sake"
42,sherry,"beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Sherry"
43,"sparkling wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Sparkling_wine"
44,"strawberry wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/Fruit_wine"
45,"white wine","beverage alcoholic",,,,"https://en.wikipedia.org/wiki/White_wine"
46,coffee,"beverage caffeinated",,,,"https://en.wikipedia.org/wiki/Coffee"
47,mate,"beverage caffeinated",,,,"https://en.wikipedia.org/wiki/Mate_(beverage)"
48,"black tea","beverage caffeinated",,,,"https://en.wikipedia.org/wiki/Black_tea"
49,"green tea","beverage caffeinated",,,,"https://en.wikipedia.org/wiki/Green_tea"
50,"roibos tea","beverage caffeinated",,,,"https://en.wikipedia.org/wiki/Rooibos"
51,barley,cereal,,,,"https://en.wikipedia.org/wiki/Barley"
52,crispbread,cereal,,,,"https://en.wikipedia.org/wiki/Crispbread"
53,malt,cereal,,,,"https://en.wikipedia.org/wiki/Malt"
54,oats,cereal,,,,"https://en.wikipedia.org/wiki/Oat"
55,rice,cereal,,,,"https://en.wikipedia.org/wiki/Rice"
56,corn,maize,,,,"https://en.wikipedia.org/wiki/Maize"
57,"corn oil",maize,,,,"https://en.wikipedia.org/wiki/Corn_oil"
58,popcorn,maize,,,,"https://en.wikipedia.org/wiki/Popcorn"
59,sweetcorn,maize,,,,"https://en.wikipedia.org/wiki/Sweet_corn"
60,butter,dairy,,,,"https://en.wikipedia.org/wiki/Butter"
61,buttermilk,dairy,,,,"https://en.wikipedia.org/wiki/Buttermilk"
62,cheese,dairy,,,,"https://en.wikipedia.org/wiki/Cheese"
63,"blue cheese",dairy,,,,"https://en.wikipedia.org/wiki/Blue_cheese"
64,"camembert cheese",dairy,,,,"https://en.wikipedia.org/wiki/Camembert"
65,"cheddar cheese",dairy,,,,"https://en.wikipedia.org/wiki/Cheddar_cheese"
66,"comte cheese",dairy,,,,"https://en.wikipedia.org/wiki/Comt%C3%A9_cheese"
67,"cottage cheese",dairy,,,,"https://en.wikipedia.org/wiki/Cottage_cheese"
68,"cream cheese",dairy,,,,"https://en.wikipedia.org/wiki/Cream_cheese"
69,"domiati cheese",dairy,,,,"https://en.wikipedia.org/wiki/Domiati"
70,"emmental cheese",dairy,,,,"https://en.wikipedia.org/wiki/Emmental_cheese"
71,"feta cheese",dairy,,,,"https://en.wikipedia.org/wiki/Feta"
72,"goat cheese",dairy,,,,"https://en.wikipedia.org/wiki/Goat_cheese"
73,"gruyere cheese",dairy,,,,"https://en.wikipedia.org/wiki/Gruy%C3%A8re_cheese"
74,"limburger cheese",dairy,,,,"https://en.wikipedia.org/wiki/Limburger"
75,"mozzarella cheese",dairy,,,,"https://en.wikipedia.org/wiki/Mozzarella"
76,"munster cheese",dairy,,,,"https://en.wikipedia.org/wiki/Munster_cheese"
77,"other cheeses",dairy,,,,"https://en.wikipedia.org/wiki/Cheese"
78,"parmesan cheese",dairy,,,,"https://en.wikipedia.org/wiki/Parmigiano-Reggiano"
79,"provolone cheese",dairy,,,,"https://en.wikipedia.org/wiki/Provolone"
80,"romano cheese",dairy,,,,"https://en.wikipedia.org/wiki/Romano_cheese"
81,"roquefort cheese",dairy,,,,"https://en.wikipedia.org/wiki/Roquefort"
82,"russian cheese",dairy,,,,"https://en.wikipedia.org/wiki/Circassian_cheese"
83,"sheep cheese",dairy,,,,"https://en.wikipedia.org/wiki/Sheep_milk_cheese"
84,"swiss cheese",dairy,,,,"https://en.wikipedia.org/wiki/Swiss_cheese"
85,"tilsit cheese",dairy,,,,"https://en.wikipedia.org/wiki/Tilsit_cheese"
86,"dairy products",dairy,,,,"https://en.wikipedia.org/wiki/Dairy"
87,ghee,dairy,,,,"https://en.wikipedia.org/wiki/Ghee"
88,milk,dairy,,,,"https://en.wikipedia.org/wiki/Milk"
89,"milk fat",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
90,"goat milk",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
91,"milk powder",dairy,,,,"https://en.wikipedia.org/wiki/Powdered_milk"
92,"sheep milk",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
93,"skimmed milk",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
94,yogurt,dairy,,,,"https://en.wikipedia.org/wiki/Yogurt"
95,achilleas,"essential oil",,,,"https://en.wikipedia.org/wiki/Achillea"
96,arar,"essential oil",,,,"https://en.wikipedia.org/wiki/Juniperus_phoenicea"
97,buchu,"essential oil",,,,"https://en.wikipedia.org/wiki/Agathosma"
98,cajeput,"essential oil",,,,"https://en.wikipedia.org/wiki/Cajeput_tree"
99,camphor,"essential oil",,,,"https://en.wikipedia.org/wiki/Cinnamomum_camphora"
100,cascarilla,"essential oil",,,,"https://en.wikipedia.org/wiki/Croton_eluteria"
101,cedar,"essential oil",,,,"https://en.wikipedia.org/wiki/Cedrus"
102,chamomile,"essential oil",,,,"https://en.wikipedia.org/wiki/Chamaemelum_nobile"
103,citronella,"essential oil",,,,"https://en.wikipedia.org/wiki/Citronella_oil"
104,"citrus peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Citrus"
105,eucalyptus,"essential oil",,,,"https://en.wikipedia.org/wiki/Eucalyptus_oil"
106,fir,"essential oil",,,,"https://en.wikipedia.org/wiki/Fir"
107,geranium,"essential oil",,,,"https://en.wikipedia.org/wiki/Geranium"
108,"grapefruit peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Grapefruit"
109,grass,"essential oil",,,,"https://en.wikipedia.org/wiki/Andropogon"
110,"hops oil","essential oil",,,,"https://en.wikipedia.org/wiki/Hops"
111,hyacinth,"essential oil",,,,"https://en.wikipedia.org/wiki/Hyacinthus_orientalis"
112,"hyssop oil","essential oil",,,,"https://en.wikipedia.org/wiki/Hyssopus_officinalis"
113,"lemon grass","essential oil",,,,"https://en.wikipedia.org/wiki/Cymbopogon"
114,"lemon peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Lemon"
115,"lime peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Key_lime"
116,lovage,"essential oil",,,,"https://en.wikipedia.org/wiki/Lovage"
117,"mandarin orange peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Mandarin_orange"
118,"mastic gum","essential oil",,,,"https://en.wikipedia.org/wiki/Mastic_(plant_resin)"
119,"mentha oil","essential oil",,,,"https://en.wikipedia.org/wiki/Mentha"
120,myrrh,"essential oil",,,,"https://en.wikipedia.org/wiki/Myrrh"
121,"neroli oil","essential oil",,,,"https://en.wikipedia.org/wiki/Neroli"
122,"orange oil","essential oil",,,,"https://en.wikipedia.org/wiki/Bitter_orange"
123,orris,"essential oil",,,,"https://en.wikipedia.org/wiki/Orris_root"
124,"clary sage","essential oil",,,,"https://en.wikipedia.org/wiki/Salvia_sclarea"
125,"red sage","essential oil",,,,"https://en.wikipedia.org/wiki/Lantana_camara"
126,"spanish sage","essential oil",,,,"https://en.wikipedia.org/wiki/Salvia_lavandulifolia"
127,sandalwood,"essential oil",,,,"https://en.wikipedia.org/wiki/Sandalwood"
128,"sea buckthorns",berry,,,,"https://en.wikipedia.org/wiki/Hippophae"
129,"sweet grass","essential oil",,,,"https://en.wikipedia.org/wiki/Hierochloe_odorata"
130,valerian,"essential oil",,,,"https://en.wikipedia.org/wiki/Valerian_(herb)"
131,wattle,"essential oil",,,,"https://en.wikipedia.org/wiki/Vachellia_farnesiana"
132,yarrow,"essential oil",,,,"https://en.wikipedia.org/wiki/Achillea_millefolium"
133,ylang-ylang,"essential oil",,,,"https://en.wikipedia.org/wiki/Cananga_odorata"
134,clam,seafood,,,,"https://en.wikipedia.org/wiki/Clam"
135,crab,seafood,,,,"https://en.wikipedia.org/wiki/Crab"
136,crayfish,seafood,,,,"https://en.wikipedia.org/wiki/Crayfish"
137,kelp,seafood,,,,"https://en.wikipedia.org/wiki/Kelp"
138,krill,seafood,,,,"https://en.wikipedia.org/wiki/Krill"
139,lobster,seafood,,,,"https://en.wikipedia.org/wiki/Lobster"
140,mollusc,seafood,,,,"https://en.wikipedia.org/wiki/Mussel"
141,oyster,seafood,,,,"https://en.wikipedia.org/wiki/Oyster"
142,prawn,seafood,,,,"https://en.wikipedia.org/wiki/Prawn"
143,scallop,seafood,,,,"https://en.wikipedia.org/wiki/Scallop"
144,shellfish,seafood,,,,"https://en.wikipedia.org/wiki/Shellfish"
145,shrimp,seafood,,,,"https://en.wikipedia.org/wiki/Shrimp"
146,trassi,seafood,,,,"https://en.wikipedia.org/wiki/Shrimp_paste#Terasi"
147,squid,seafood,,,,"https://en.wikipedia.org/wiki/Squid"
148,bonito,fish,,,,"https://en.wikipedia.org/wiki/Katsuobushi"
149,caviar,fish,,,,"https://en.wikipedia.org/wiki/Caviar"
150,codfish,fish,,,,"https://en.wikipedia.org/wiki/Cod"
151,fish,fish,,,,"https://en.wikipedia.org/wiki/Fish"
152,"fatty fish",fish,,,,"https://en.wikipedia.org/wiki/Fish"
153,"lean fish",fish,,,,"https://en.wikipedia.org/wiki/Fish"
154,"fish oil",fish,,,,"https://en.wikipedia.org/wiki/Fish_oil"
155,"smoked fish",fish,,,,"https://en.wikipedia.org/wiki/Fish"
156,salmon,fish,,,,"https://en.wikipedia.org/wiki/Salmon"
157,artichoke,flower,,,,"https://en.wikipedia.org/wiki/Artichoke"
158,champaca,flower,,,,"https://en.wikipedia.org/wiki/Magnolia_champaca"
159,jasmine,flower,,,,"https://en.wikipedia.org/wiki/Jasmine"
160,lavendar,flower,,,,"https://en.wikipedia.org/wiki/Lavandula"
161,rose,flower,,,,"https://en.wikipedia.org/wiki/Rose"
162,apple,fruit,,,,"https://en.wikipedia.org/wiki/Apple"
163,"apple sauce",fruit,,,,"https://en.wikipedia.org/wiki/Apple_sauce"
164,apricot,fruit,,,,"https://en.wikipedia.org/wiki/Apricot"
165,avocado,fruit,,,,"https://en.wikipedia.org/wiki/Avocado"
166,babaco,fruit,,,,"https://en.wikipedia.org/wiki/Babaco"
167,banana,fruit,,,,"https://en.wikipedia.org/wiki/Banana"
168,beli,fruit,,,,"https://en.wikipedia.org/wiki/Aegle_marmelos"
169,"byrsonima crassifolia",fruit,,,,"https://en.wikipedia.org/wiki/Byrsonima_crassifolia"
170,"cashew apple",fruit,,,,"https://en.wikipedia.org/wiki/Cashew#Cashew_apple"
171,cherimoya,fruit,,,,"https://en.wikipedia.org/wiki/Cherimoya"
